userId,localStartTime,localEndTime,utcStartTime,utcEndTime,currentRound,difficultyLevel,sequenceAttempted,buttonMissed,timeSpentInSequence,totalSequencesAttemptedInRound,totalSequencesCorrectInRound,sequenceSuccessPercentageInRound
e4a6bbe9e5fd4f848187d239ecb5ac0b,1/12/2021 4:42:52 PM,1/12/2021 4:42:56 PM,1/13/2021 12:42:52 AM,1/13/2021 12:42:56 AM,1,0 (TUTORIAL),[0] ,,0:03,1,1,1
e4a6bbe9e5fd4f848187d239ecb5ac0b,1/12/2021 4:42:52 PM,1/12/2021 4:43:00 PM,1/13/2021 12:42:52 AM,1/13/2021 12:43:00 AM,1,0 (TUTORIAL),[0] [2] ,,0:02,2,2,1
e4a6bbe9e5fd4f848187d239ecb5ac0b,1/12/2021 4:42:52 PM,1/12/2021 4:43:07 PM,1/13/2021 12:42:52 AM,1/13/2021 12:43:07 AM,1,0 (TUTORIAL),[0] [2] [2] ,[???],0:03,3,2,0.6666667

578457b8c1f7449aa2cdde41630eec26,1/12/2021 4:46:19 PM,1/12/2021 4:46:22 PM,1/13/2021 12:46:19 AM,1/13/2021 12:46:22 AM,1,0 (TUTORIAL),[0] ,,0:01,1,1,1
578457b8c1f7449aa2cdde41630eec26,1/12/2021 4:46:19 PM,1/12/2021 4:46:26 PM,1/13/2021 12:46:19 AM,1/13/2021 12:46:26 AM,1,0 (TUTORIAL),[0] [2] ,,0:02,2,2,1
578457b8c1f7449aa2cdde41630eec26,1/12/2021 4:46:19 PM,1/12/2021 4:46:32 PM,1/13/2021 12:46:19 AM,1/13/2021 12:46:32 AM,1,0 (TUTORIAL),[0] [2] [2] ,[???],0:02,3,2,0.6666667
578457b8c1f7449aa2cdde41630eec26,1/12/2021 4:46:19 PM,1/12/2021 4:46:37 PM,1/13/2021 12:46:19 AM,1/13/2021 12:46:37 AM,1,0 (TUTORIAL),[0] [2] ,[???],0:03,4,2,0.5

4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:10 PM,1/12/2021 4:47:20 PM,1/13/2021 12:47:10 AM,1/13/2021 12:47:20 AM,1,0 (TUTORIAL),[0] ,,0:09,1,1,1
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:10 PM,1/12/2021 4:47:25 PM,1/13/2021 12:47:10 AM,1/13/2021 12:47:25 AM,1,0 (TUTORIAL),[0] [2] ,[???],0:02,2,1,0.5

4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:47:53 PM,1/13/2021 12:47:49 AM,1/13/2021 12:47:53 AM,2,1 (BLUE),[2] ,,0:03,1,1,1
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:47:58 PM,1/13/2021 12:47:49 AM,1/13/2021 12:47:58 AM,2,1 (BLUE),[2] [1] ,,0:02,2,2,1
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:48:04 PM,1/13/2021 12:47:49 AM,1/13/2021 12:48:04 AM,2,1 (BLUE),[2] [1] [2] ,[???],0:03,3,2,0.6666667
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:48:08 PM,1/13/2021 12:47:49 AM,1/13/2021 12:48:08 AM,2,1 (BLUE),[2] [1] ,,0:01,4,3,0.75
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:48:14 PM,1/13/2021 12:47:49 AM,1/13/2021 12:48:14 AM,2,1 (BLUE),[2] [1] [2] ,,0:03,5,4,0.8
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:48:22 PM,1/13/2021 12:47:49 AM,1/13/2021 12:48:22 AM,2,1 (BLUE),[2] [1] [2] [1] ,[???],0:03,6,4,0.6666667
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:48:28 PM,1/13/2021 12:47:49 AM,1/13/2021 12:48:28 AM,2,1 (BLUE),[2] [1] [2] ,[???],0:02,7,4,0.5714286
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:48:32 PM,1/13/2021 12:47:49 AM,1/13/2021 12:48:32 AM,2,1 (BLUE),[2] [1] ,,0:01,8,5,0.625
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:48:38 PM,1/13/2021 12:47:49 AM,1/13/2021 12:48:38 AM,2,1 (BLUE),[2] [1] [2] ,[???],0:02,9,5,0.5555556
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:48:41 PM,1/13/2021 12:47:49 AM,1/13/2021 12:48:41 AM,2,1 (BLUE),[2] [1] ,,0:01,10,6,0.6
4c290ce46ae046ceaf55142545aff10f,1/12/2021 4:47:49 PM,1/12/2021 4:48:47 PM,1/13/2021 12:47:49 AM,1/13/2021 12:48:47 AM,2,1 (BLUE),[2] [1] [2] ,,0:02,11,7,0.6363636


f9c27b9c8da94ef8bd1b47217f2ab653,1/12/2021 5:33:14 PM,1/12/2021 5:33:16 PM,1/13/2021 1:33:14 AM,1/13/2021 1:33:16 AM,1,0 (TUTORIAL),[0] ,,0:01,1,1,1
f9c27b9c8da94ef8bd1b47217f2ab653,1/12/2021 5:33:14 PM,1/12/2021 5:33:21 PM,1/13/2021 1:33:14 AM,1/13/2021 1:33:21 AM,1,0 (TUTORIAL),[0] [1] ,,0:02,2,2,1
f9c27b9c8da94ef8bd1b47217f2ab653,1/12/2021 5:33:14 PM,1/12/2021 5:33:29 PM,1/13/2021 1:33:14 AM,1/13/2021 1:33:29 AM,1,0 (TUTORIAL),[0] [1] [2] ,,0:04,3,3,1

462b2b36a0e34cf1b9eb68b6cbf97b27,1/12/2021 5:35:39 PM,1/12/2021 5:35:44 PM,1/13/2021 1:35:39 AM,1/13/2021 1:35:44 AM,1,0 (TUTORIAL),[2] ,[0],0:03,1,0,0
462b2b36a0e34cf1b9eb68b6cbf97b27,1/12/2021 5:35:39 PM,1/12/2021 5:35:48 PM,1/13/2021 1:35:39 AM,1/13/2021 1:35:48 AM,1,0 (TUTORIAL),[2] ,,0:02,2,1,0.5
462b2b36a0e34cf1b9eb68b6cbf97b27,1/12/2021 5:35:39 PM,1/12/2021 5:35:53 PM,1/13/2021 1:35:39 AM,1/13/2021 1:35:53 AM,1,0 (TUTORIAL),[2] [2] ,,0:03,3,2,0.6666667

9d352fbf18d641ac868f5abbc0b1237c,1/12/2021 5:37:46 PM,1/12/2021 5:37:50 PM,1/13/2021 1:37:46 AM,1/13/2021 1:37:50 AM,1,0 (TUTORIAL),[1] ,,0:03,1,1,1
9d352fbf18d641ac868f5abbc0b1237c,1/12/2021 5:37:46 PM,1/12/2021 5:37:56 PM,1/13/2021 1:37:46 AM,1/13/2021 1:37:56 AM,1,0 (TUTORIAL),[1] [0] ,,0:03,2,2,1
9d352fbf18d641ac868f5abbc0b1237c,1/12/2021 5:37:46 PM,1/12/2021 5:38:03 PM,1/13/2021 1:37:46 AM,1/13/2021 1:38:03 AM,1,0 (TUTORIAL),[1] [0] [0] ,,0:04,3,3,1

eef4e5fb51174f319de548aa707cb738,1/12/2021 5:39:12 PM,1/12/2021 5:39:16 PM,1/13/2021 1:39:12 AM,1/13/2021 1:39:16 AM,1,0 (TUTORIAL),[1] ,,0:02,1,1,1
