userId,localStartTime,localEndTime,utcStartTime,utcEndTime,timeInSequence,sessionCompleted,currentSession,totalSequencesAttempted,totalSequencesCorrect,sequencesAttempted,sequencesMissed,sequenceSuccessPercentage
38a900f3ba1041e0b9fc2e2835833241,8/27/2020 1:45:06 PM,8/27/2020 1:45:38 PM,8/27/2020 8:45:06 PM,8/27/2020 8:45:38 PM,0:28,True,4,0,0,,,0
47977ae9e7d74f978f7da1f83faa8a1e,8/27/2020 3:16:52 PM,8/27/2020 3:16:55 PM,8/27/2020 10:16:52 PM,8/27/2020 10:16:55 PM,0:01,True,1,0,0,,,0
027ff59e4f4643dfbfec81844632d364,8/27/2020 3:36:46 PM,8/27/2020 3:36:49 PM,8/27/2020 10:36:46 PM,8/27/2020 10:36:49 PM,0:01,True,1,0,0,,,0
a807d7e6223b4b3fb436afd244f0944c,8/27/2020 3:51:25 PM,8/27/2020 3:51:26 PM,8/27/2020 10:51:25 PM,8/27/2020 10:51:26 PM,0:01,True,1,0,0,,,0
a076ca33dfbf410f88cd0cdfcb04336a,9/3/2020 12:07:18 PM,9/3/2020 12:07:21 PM,9/3/2020 7:07:18 PM,9/3/2020 7:07:21 PM,0:01,True,1,0,0,,,0
2435d4b148fc4a2e972589c843bfc84d,9/3/2020 6:26:21 PM,9/3/2020 6:26:25 PM,9/4/2020 1:26:21 AM,9/4/2020 1:26:25 AM,0:02,True,1,0,0,,,0
0a8e7b6243134de6a0ad960b078393f1,9/3/2020 6:28:49 PM,9/3/2020 6:28:52 PM,9/4/2020 1:28:49 AM,9/4/2020 1:28:52 AM,0:01,True,1,0,0,,,0
8933cb7a5e3c48f18ce60f3106fbdb11,9/3/2020 7:24:43 PM,9/3/2020 7:24:46 PM,9/4/2020 2:24:43 AM,9/4/2020 2:24:46 AM,0:02,True,1,0,0,,,0
508ccd3cf2264f47827bb66d016b5e8d,9/3/2020 7:59:46 PM,9/3/2020 7:59:49 PM,9/4/2020 2:59:46 AM,9/4/2020 2:59:49 AM,0:02,True,1,0,0,,,0
dd951e0409354aa394b576ee4797528d,9/3/2020 8:09:58 PM,9/3/2020 8:10:01 PM,9/4/2020 3:09:58 AM,9/4/2020 3:10:01 AM,0:02,True,1,0,0,,,0
dbb901daf60647c6a3067f5ed860befc,9/3/2020 8:13:40 PM,9/3/2020 8:13:43 PM,9/4/2020 3:13:40 AM,9/4/2020 3:13:43 AM,0:02,True,1,0,0,,,0
66c0a5c78a794434a4a306577012c8e0,9/3/2020 8:18:09 PM,9/3/2020 8:18:12 PM,9/4/2020 3:18:09 AM,9/4/2020 3:18:12 AM,0:02,True,1,0,0,,,0
67600a7295e44569bd80d40f34ca6f20,9/3/2020 8:59:15 PM,9/3/2020 8:59:18 PM,9/4/2020 3:59:15 AM,9/4/2020 3:59:18 AM,0:02,True,1,0,0,,,0
759dafb877fd41a4b99513e9ba8566dc,9/3/2020 9:14:39 PM,9/3/2020 9:14:42 PM,9/4/2020 4:14:39 AM,9/4/2020 4:14:42 AM,0:02,True,1,0,0,,,0
6b450491b00644fdbc032603ac2b75e2,9/3/2020 9:24:22 PM,9/3/2020 9:24:25 PM,9/4/2020 4:24:22 AM,9/4/2020 4:24:25 AM,0:02,True,1,0,0,,,0
