userId,localStartTime,localEndTime,utcStartTime,utcEndTime,timeInSequence,sessionCompleted,currentSession,totalSequencesAttempted,totalSequencesCorrect,sequencesAttempted,sequencesMissed,sequenceSuccessPercentage
027ff59e4f4643dfbfec81844632d364,8/27/2020 3:38:09 PM,8/27/2020 3:38:12 PM,8/27/2020 10:38:09 PM,8/27/2020 10:38:12 PM,0:01,True,1,0,0,,,0
a807d7e6223b4b3fb436afd244f0944c,8/27/2020 3:52:14 PM,8/27/2020 3:52:15 PM,8/27/2020 10:52:14 PM,8/27/2020 10:52:15 PM,0:01,True,1,0,0,,,0
0a8e7b6243134de6a0ad960b078393f1,9/3/2020 6:29:45 PM,9/3/2020 6:29:48 PM,9/4/2020 1:29:45 AM,9/4/2020 1:29:48 AM,0:02,True,1,0,0,,,0
8933cb7a5e3c48f18ce60f3106fbdb11,9/3/2020 7:25:36 PM,9/3/2020 7:25:39 PM,9/4/2020 2:25:36 AM,9/4/2020 2:25:39 AM,0:02,True,1,0,0,,,0
508ccd3cf2264f47827bb66d016b5e8d,9/3/2020 8:00:32 PM,9/3/2020 8:00:35 PM,9/4/2020 3:00:32 AM,9/4/2020 3:00:35 AM,0:02,True,1,0,0,,,0

dd951e0409354aa394b576ee4797528d,9/3/2020 8:10:43 PM,9/3/2020 8:10:46 PM,9/4/2020 3:10:43 AM,9/4/2020 3:10:46 AM,0:02,True,1,0,0,,,0

dbb901daf60647c6a3067f5ed860befc,9/3/2020 8:14:52 PM,9/3/2020 8:14:55 PM,9/4/2020 3:14:52 AM,9/4/2020 3:14:55 AM,0:01,True,1,0,0,,,0

66c0a5c78a794434a4a306577012c8e0,9/3/2020 8:19:10 PM,9/3/2020 8:19:13 PM,9/4/2020 3:19:10 AM,9/4/2020 3:19:13 AM,0:02,True,1,0,0,,,0
759dafb877fd41a4b99513e9ba8566dc,9/3/2020 9:15:24 PM,9/3/2020 9:15:27 PM,9/4/2020 4:15:24 AM,9/4/2020 4:15:27 AM,0:02,True,1,0,0,,,0
6b450491b00644fdbc032603ac2b75e2,9/3/2020 9:25:14 PM,9/3/2020 9:25:17 PM,9/4/2020 4:25:14 AM,9/4/2020 4:25:17 AM,0:02,True,1,0,0,,,0
